N,P,K,Temperature,Rainfall,pH,Humidity,Soil_Type,Agro_Zone,Irrigation,Season,Crop,District
75.3,39.4,161.8,17.0,2016.0,6.3,90.0,Loam,Up Country Wet Zone,Irrigated,Year-round,Beetroot,Nuwara Eliya
58.0,31.0,92.0,28.0,934.1,6.14,66.9,Loam,Intermediate Zone,Irrigated,Yala,Brinjal (Eggplant),Matale
131.7,59.8,115.2,34.9,957.3,6.3,63.1,Sandy Loam,Dry Zone,Irrigated,Maha,Tibbatu (Turkey Berry),Monaragala
36.4,41.8,43.1,30.6,728.1,6.05,66.1,Low-Humic Gley,Mahaweli H Zone,Rainfed,Maha,Soybean,Polonnaruwa
91.9,100.3,119.0,27.4,1749.4,5.75,75.1,Sandy Loam,Low Country Wet Zone,Irrigated,Maha,Bitter Gourd,Gampaha
123.0,74.0,136.0,32.6,379.0,6.8,57.1,Alluvial,Dry Zone,Irrigated,Yala,Big Onion,Vavuniya
133.9,113.4,100.5,28.3,450.0,6.85,59.6,Reddish-Brown Earth,Dry Zone,Supplemental,Yala,Tomato,Batticaloa
111.0,81.0,50.0,25.2,566.0,7.6,64.3,Red-Brown Earth,Intermediate Zone,Irrigated,Maha,Big Onion,Badulla
51.0,29.0,108.0,25.6,1063.8,5.5,83.8,Sandy Loam,Intermediate Zone,Rainfed,Yala,Innala,Kurunegala
71.0,35.0,135.0,29.2,994.0,6.0,52.0,Reddish-Brown Earth,Dry Zone,Rainfed,Maha,Cassava,Trincomalee
116.3,92.1,97.6,26.8,1135.4,6.54,72.0,Loam,Low Country Wet Zone,Rainfed,Yala,Tomato,Kalutara
110.7,49.7,41.1,24.2,2169.1,6.6,77.9,Deep Sandy Loam,Intermediate Zone,Rainfed,Maha,Chilli,Monaragala
113.5,87.6,114.2,27.3,1423.0,6.33,73.0,Loam,Mid Country Intermediate Zone,Supplemental,Maha,Bitter Gourd,Kurunegala
39.0,50.0,84.0,29.3,476.8,6.5,66.8,Sandy Loam,Eastern Dry Zone,Rainfed,Maha,Pigeon Pea,Ampara
126.0,49.0,133.0,27.2,730.4,6.1,79.0,Sandy Regosol,Dry Coastal Zone,Irrigated,Maha,Potato,Kilinochchi
116.1,111.1,91.2,28.7,892.4,6.7,57.7,Silt Loam,Low Country Dry Zone,Irrigated,Yala,Bitter Gourd,Vavuniya
35.0,49.0,36.0,30.0,686.0,6.6,57.8,Sandy Loam,Dry Zone,Rainfed,Maha,Mung Bean,Kurunegala
63.0,51.0,109.0,26.3,1965.9,6.2,89.1,Light Sandy Loam,Low Country Wet Zone,Supplemental,Yala,Innala,Colombo
71.0,44.0,166.0,29.7,1891.4,6.0,77.9,Loam,Low Country Wet Zone,Supplemental,Maha,Innala,Colombo
44.0,85.0,46.0,21.5,1195.0,5.4,71.3,Red-Yellow Podzolic,Intermediate Zone,Supplemental,Year-round,Winged Bean (Dambala),Nuwara Eliya
71.0,48.0,32.0,25.2,571.5,6.5,67.8,Reddish-Brown Earth,Dry Zone,Rainfed,Maha,Sunflower,Anuradhapura
68.0,38.0,96.0,25.4,1849.1,5.9,79.5,Sandy Loam,Low Country Wet Zone,Supplemental,Yala,Innala,Gampaha
92.8,44.2,67.3,33.3,1526.3,6.4,73.9,Deep Sandy Loam,Dry Zone,Rainfed,Maha,Chilli,Batticaloa
46.0,54.0,57.0,28.5,695.8,6.5,71.8,Sandy Loam,Intermediate Zone,Rainfed,Yala,Pumpkin,Monaragala
55.0,81.0,32.0,28.5,1337.0,6.2,78.6,Sandy Loam,Intermediate Zone,Supplemental,Yala,Winged Bean (Dambala),Matara
141.0,68.0,131.0,26.5,806.8,6.4,64.6,Sandy Loam,Dry Zone,Rainfed,Yala,Sweet Corn,Vavuniya
92.0,99.0,80.0,27.2,221.0,6.8,84.0,Loam,Low Country Wet Zone,Supplemental,Year-round,Pathola (Snake Gourd),Colombo
151.2,59.8,99.6,20.5,2201.3,5.9,86.6,Silt Loam,Up Country Wet Zone,Irrigated,Maha,Cauliflower (Gowa),Nuwara Eliya
145.0,90.0,126.0,30.5,1653.2,5.96,77.0,Reddish-Brown Earth,Intermediate Zone,Irrigated,Year-round,Kiri Ala,Kandy
37.0,29.0,59.0,27.8,363.1,7.3,56.6,Reddish-Brown Earth,Eastern Dry Zone,Rainfed,Yala,Pigeon Pea,Batticaloa
88.0,73.0,50.0,28.6,2758.8,6.8,91.4,Low-Humic Gley,Low Country Wet Zone,Supplemental,Year-round,Radish,Colombo
66.0,35.0,118.0,28.8,1123.0,5.0,75.0,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Maha,Cassava,Matara
31.0,32.7,41.0,32.3,1113.2,7.0,66.6,Sandy Clay Loam,Low Country Dry Zone,Irrigated,Yala,Cowpea,Puttalam
38.9,54.6,50.5,26.0,981.1,6.15,71.6,Reddish-Brown Earth,Low Country Intermediate Zone,Irrigated,Maha,Soybean,Puttalam
68.0,29.3,49.0,28.3,776.3,5.6,74.6,Sandy Loam,Low Country Dry Zone,Irrigated,Yala,Cowpea,Kilinochchi
100.0,40.0,108.0,28.0,600.0,6.3,77.2,Loam,Dry Zone,Irrigated,Maha,Sweet Corn,Polonnaruwa
119.9,71.2,122.8,19.7,475.2,6.03,74.3,Reddish-Brown Earth,Intermediate Zone,Irrigated,Yala,Cabbage,Matale
91.0,75.0,63.0,25.6,1539.4,6.8,75.4,Red Loam,Up Country Intermediate Zone,Irrigated,Yala,Red Onion,Nuwara Eliya
93.0,108.0,101.0,27.1,718.8,7.8,54.6,Regosol,Dry Zone,Irrigated,Yala,Big Onion,Anuradhapura
110.0,70.0,130.0,19.4,1864.0,6.6,78.4,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Yala,Carrot,Badulla
120.0,59.0,77.0,26.6,675.8,7.1,69.4,Red Loam,Dry Zone,Irrigated,Yala,Kurakkan,Puttalam
38.0,38.0,27.0,27.3,776.1,7.2,63.1,Non-Calcic Brown Earth,Intermediate Zone,Supplemental,Yala,Mung Bean,Matale
84.0,40.0,56.0,32.9,1137.6,5.56,73.6,Loam,Dry Zone,Rainfed,Maha,Brinjal (Eggplant),Vavuniya
180.0,86.0,103.0,28.9,831.3,6.1,76.1,Sandy Loam,Dry Zone,Irrigated,Yala,Sweet Corn,Kilinochchi
109.0,76.0,99.0,19.9,1374.8,7.0,63.4,Reddish-Brown Earth,Intermediate Zone,Supplemental,Year-round,Carrot,Kandy
100.0,49.0,72.0,27.5,914.8,7.5,60.5,Fertile Loam,Intermediate Zone,Irrigated,Yala,Kurakkan,Matale
90.0,80.0,93.0,28.0,1104.8,7.3,74.0,Reddish-Brown Earth,Dry Zone,Rainfed,Maha,Carrot,Batticaloa
61.5,54.2,32.9,30.9,703.3,6.22,62.5,Alluvial,Mahaweli H Zone,Supplemental,Maha,Soybean,Kandy
23.0,28.0,45.0,26.1,555.4,7.4,70.9,Reddish-Brown Earth,Eastern Dry Zone,Rainfed,Maha,Pigeon Pea,Batticaloa
118.0,35.5,143.3,22.6,1246.2,6.6,69.5,Loam,Up Country Intermediate Zone,Irrigated,Maha,Beetroot,Matale
108.0,56.0,105.0,25.0,1876.8,7.2,75.7,Red-Yellow Podzolic,Intermediate Zone,Supplemental,Maha,Radish,Puttalam
138.5,71.9,71.2,31.2,1555.0,5.48,70.0,Light Loam,Low Country Intermediate Zone,Rainfed,Maha,Elabatu (Thai Eggplant),Matara
103.2,60.2,104.5,27.2,1076.8,6.4,81.7,Alluvial,Intermediate Zone,Rainfed,Maha,Tibbatu (Turkey Berry),Kurunegala
92.0,74.0,103.0,29.8,54.0,6.8,72.0,Red-Brown Earth,Dry Zone,Irrigated,Yala,Pathola (Snake Gourd),Kurunegala
72.0,59.0,100.0,28.0,706.5,5.8,69.8,Loam,Dry Zone,Irrigated,Yala,Sweet Corn,Kurunegala
109.0,93.0,100.0,28.3,53.0,6.8,74.0,Clay Loam,Intermediate Zone,Irrigated,Yala,Pathola (Snake Gourd),Matale
130.0,53.0,121.0,23.2,1345.6,5.9,76.4,Reddish-Brown Earth,Up Country Intermediate Zone,Irrigated,Yala,Potato,Nuwara Eliya
36.9,51.5,69.1,31.1,828.4,6.22,66.1,Non-Calcic Brown Earth,Mahaweli H Zone,Rainfed,Maha,Soybean,Matale
103.0,71.0,43.0,28.3,908.7,6.3,68.8,Sandy Loam,Dry Zone,Irrigated,Yala,Sweet Corn,Trincomalee
30.0,27.0,46.0,21.2,541.5,8.1,70.9,Reddish-Brown Earth,Eastern Dry Zone,Rainfed,Yala,Pigeon Pea,Trincomalee
169.0,59.0,130.0,26.0,922.3,6.1,81.7,Sandy Loam,Intermediate Zone,Rainfed,Maha,Sweet Corn,Kandy
124.3,53.8,145.5,24.8,839.9,6.87,77.2,Non-Calcic Brown Earth,Dry Zone,Irrigated,Yala,Cabbage,Polonnaruwa
73.0,40.0,76.0,25.7,1494.9,6.6,66.9,Loamy Sand,Up Country Intermediate Zone,Irrigated,Maha,Red Onion,Nuwara Eliya
27.0,60.0,59.0,27.2,466.2,7.9,71.4,Non-Calcic Brown Earth,Eastern Dry Zone,Rainfed,Maha,Pigeon Pea,Ampara
113.0,33.0,107.0,28.8,1943.2,5.4,75.2,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Yala,Innala,Matara
126.5,54.3,75.7,26.5,1365.8,5.87,70.8,Loam,Mid Country Intermediate Zone,Rainfed,Yala,Elabatu (Thai Eggplant),Kandy
108.6,62.7,110.8,26.7,634.0,7.18,65.8,Loam,Low Country Dry Zone,Irrigated,Yala,Cauliflower (Gowa),Batticaloa
90.3,98.0,116.4,26.1,1991.0,6.32,83.9,Loam,Mid Country Wet Zone,Supplemental,Year-round,Bitter Gourd,Kegalle
94.0,36.0,123.0,29.8,1922.7,5.0,77.9,Red-Yellow Podzolic,Low Country Wet Zone,Supplemental,Maha,Innala,Kalutara
93.7,90.6,93.5,27.4,1766.1,6.72,68.1,Loam,Mid Country Wet Zone,Irrigated,Maha,Bitter Gourd,Kegalle
131.3,107.1,90.8,28.8,775.6,6.03,64.6,Non-Calcic Brown Earth,Dry Zone,Irrigated,Maha,Tomato,Puttalam
42.0,55.0,55.0,28.2,929.1,7.2,60.1,Reddish-Brown Earth,Dry Zone,Supplemental,Maha,Mung Bean,Trincomalee
134.0,63.0,91.0,28.1,916.6,6.2,76.7,Loam,Intermediate Zone,Irrigated,Yala,Sweet Corn,Matale
45.0,102.0,67.0,25.2,1662.0,6.2,77.4,Clay Loam,Low Country Wet Zone,Supplemental,Yala,Winged Bean (Dambala),Ratnapura
154.0,40.0,145.0,27.8,2393.7,5.8,82.8,Sandy Loam,Low Country Wet Zone,Rainfed,Year-round,Luffa,Gampaha
153.0,38.0,105.0,26.4,2079.0,6.7,81.8,Sandy Loam,Low Country Wet Zone,Supplemental,Year-round,Luffa,Colombo
53.0,31.0,97.0,29.4,1317.0,5.4,69.0,Reddish-Brown Earth,Intermediate Zone,Rainfed,Yala,Cassava,Matale
74.0,38.0,145.0,29.7,1204.3,6.4,79.4,Reddish-Brown Earth,Intermediate Zone,Rainfed,Yala,Innala,Badulla
145.2,150.0,112.4,21.1,1062.3,6.03,84.4,Clay Loam,Up Country Wet Zone,Irrigated,Yala,Kohlrabi (Nokol),Nuwara Eliya
124.0,59.0,82.0,26.8,634.0,6.4,70.7,Sandy Regosol,Dry Coastal Zone,Irrigated,Yala,Potato,Puttalam
65.1,50.5,47.4,25.0,854.5,6.33,72.3,Non-Calcic Brown Earth,Intermediate Zone,Irrigated,Yala,Soybean,Matara
99.0,35.0,118.0,33.5,661.8,6.8,59.9,Sandy Loam,Low Country Dry Zone,Irrigated,Maha,Luffa,Anuradhapura
110.0,33.0,109.0,27.6,1276.9,7.1,76.7,Loam,Mid Country Intermediate Zone,Irrigated,Maha,Luffa,Kandy
71.0,92.0,121.0,30.8,1075.6,6.9,59.3,Alluvial,Dry Zone,Rainfed,Maha,Carrot,Polonnaruwa
88.8,39.9,144.1,32.8,619.4,7.0,66.9,Alluvial Loam,Low Country Dry Zone,Irrigated,Maha,Beetroot,Trincomalee
113.5,36.1,156.5,20.0,1816.9,6.5,74.1,Sandy Loam,Up Country Wet Zone,Irrigated,Maha,Beetroot,Nuwara Eliya
61.0,19.9,38.0,33.2,782.1,6.0,66.2,Well Drained Loam,Low Country Dry Zone,Irrigated,Yala,Cowpea,Hambantota
70.7,43.0,76.3,28.9,856.6,5.85,77.3,Alluvial Loam,Dry Zone,Irrigated,Maha,Capsicum,Puttalam
127.0,31.0,95.0,26.9,1753.1,7.2,76.9,Sandy Loam,Low Country Intermediate Zone,Irrigated,Yala,Luffa,Monaragala
150.0,55.0,158.0,28.3,1446.1,6.6,68.6,Sandy Loam,Low Country Intermediate Zone,Irrigated,Yala,Luffa,Monaragala
49.0,58.0,40.0,25.3,771.7,7.3,60.9,Sandy Loam,Eastern Dry Zone,Rainfed,Maha,Pigeon Pea,Trincomalee
126.2,62.2,99.6,25.3,1779.5,6.7,81.7,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Okra,Kalutara
131.4,58.7,98.4,27.2,982.8,6.5,80.7,Alluvial Loam,Intermediate Zone,Irrigated,Maha,Capsicum,Kurunegala
70.0,26.0,68.0,28.9,1097.6,5.61,79.8,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Yala,Brinjal (Eggplant),Matara
92.0,48.0,38.0,29.2,414.2,6.6,58.7,Clay Loam,Dry Zone,Irrigated,Yala,Sorghum,Hambantota
168.0,76.0,133.0,16.9,2079.9,5.4,87.0,Sandy Loam,Up Country Wet Zone,Irrigated,Maha,Leeks,Badulla
106.0,58.0,87.0,27.1,897.7,6.4,67.8,Loam,Dry Zone,Irrigated,Yala,Sweet Corn,Trincomalee
137.3,99.2,111.7,23.9,1239.6,6.25,76.2,Reddish-Brown Earth,Intermediate Zone,Supplemental,Maha,Tomato,Matara
38.0,37.0,58.0,29.1,1476.8,7.0,83.4,Sandy Clay Loam,Low Country Wet Zone,Irrigated,Yala,Cowpea,Ratnapura
96.0,79.0,145.0,28.4,862.9,6.7,58.1,Regosol,Dry Zone,Irrigated,Year-round,Carrot,Polonnaruwa
128.0,59.0,75.0,22.7,970.2,6.0,61.9,Reddish-Brown Earth,Mid Country Intermediate Zone,Irrigated,Yala,Potato,Matale
97.0,71.0,110.0,28.0,743.7,7.3,54.1,Regosol,Dry Zone,Irrigated,Yala,Big Onion,Polonnaruwa
10.0,57.0,78.0,24.1,457.5,6.9,73.4,Non-Calcic Brown Earth,Dry Zone,Rainfed,Maha,Pigeon Pea,Matale
126.0,75.0,146.0,18.1,1641.0,5.9,84.7,Mountain Regosol,Up Country Wet Zone,Supplemental,Maha,Carrot,Nuwara Eliya
101.7,35.5,47.2,30.7,1736.1,6.6,77.8,Loam,Intermediate Zone,Irrigated,Yala,Chilli,Matale
31.0,49.0,55.0,28.1,734.6,7.5,55.5,Reddish-Brown Earth,Dry Zone,Supplemental,Maha,Mung Bean,Hambantota
35.1,44.0,37.4,29.0,854.7,6.37,71.6,Red-Yellow Latosol,Mahaweli H Zone,Supplemental,Maha,Soybean,Polonnaruwa
152.0,72.0,143.0,17.3,1950.7,5.5,74.5,Clay Loam,Up Country Wet Zone,Irrigated,Maha,Leeks,Nuwara Eliya
121.5,43.5,53.1,27.8,1473.8,6.5,74.0,Deep Sandy Loam,Dry Zone,Rainfed,Maha,Chilli,Anuradhapura
101.0,92.0,76.0,28.4,795.0,6.3,65.8,Clay Loam,Dry Zone,Irrigated,Maha,Sweet Corn,Vavuniya
125.8,55.8,100.8,28.2,720.2,6.2,75.9,Loam,Intermediate Zone,Irrigated,Yala,Capsicum,Badulla
23.0,33.0,44.0,26.6,527.5,6.9,71.6,Alluvial,Low Country Intermediate Zone,Supplemental,Maha,Mung Bean,Kurunegala
103.0,76.0,144.0,21.5,1551.0,6.9,80.8,Reddish-Brown Earth,Intermediate Zone,Irrigated,Maha,Carrot,Kurunegala
107.7,98.9,71.0,27.0,1773.8,7.29,79.0,Loam,Low Country Wet Zone,Irrigated,Maha,Tomato,Ratnapura
108.7,78.1,127.1,31.4,936.3,6.8,61.2,Reddish-Brown Earth,Dry Zone,Irrigated,Year-round,Tibbatu (Turkey Berry),Hambantota
76.3,56.0,119.2,23.2,1344.2,6.33,88.0,Alluvial Loam,Low Country Wet Zone,Rainfed,Maha,Capsicum,Ratnapura
116.0,62.0,71.0,22.3,1167.8,6.2,71.1,Reddish-Brown Earth,Mid Country Intermediate Zone,Irrigated,Maha,Potato,Matale
83.0,47.0,89.0,29.1,875.3,6.3,65.6,Red-Brown Earth,Dry Zone,Irrigated,Maha,Maize,Polonnaruwa
50.0,46.0,48.0,24.0,880.8,7.4,75.7,Clay Loam,Intermediate Zone,Rainfed,Maha,Kurakkan,Kandy
25.0,52.0,59.0,27.8,1159.9,7.2,69.7,Sandy Loam,Low Country Intermediate Zone,Supplemental,Maha,Mung Bean,Monaragala
160.5,97.5,148.7,21.7,1299.1,5.83,92.0,Clay Loam,Up Country Intermediate Zone,Irrigated,Maha,Kohlrabi (Nokol),Matale
102.0,47.0,90.0,27.4,960.3,5.6,71.8,Sandy Loam,Dry Zone,Rainfed,Maha,Kurakkan,Polonnaruwa
91.0,63.0,52.0,28.7,820.8,6.3,66.8,Red Loam,Dry Zone,Irrigated,Yala,Red Onion,Monaragala
94.0,70.0,127.0,30.6,2554.9,6.8,81.7,Loam,Low Country Wet Zone,Rainfed,Yala,Luffa,Matara
120.8,50.8,68.7,27.0,2184.4,6.5,79.4,Clay Loam,Intermediate Zone,Rainfed,Maha,Chilli,Matara
93.5,90.8,109.1,27.8,1822.2,5.94,69.7,Loam,Low Country Wet Zone,Irrigated,Maha,Bitter Gourd,Matara
109.9,100.0,89.0,28.5,474.5,6.47,59.1,Sandy Loam,Dry Zone,Irrigated,Yala,Tomato,Batticaloa
125.6,47.3,67.4,27.9,967.7,6.0,71.3,Red-Yellow Podzolic,Mid Country Intermediate Zone,Rainfed,Maha,Okra,Badulla
96.0,74.0,77.0,22.7,1923.1,6.5,77.1,Immature Brown Loam,Intermediate Zone,Rainfed,Maha,Radish,Kandy
84.0,79.0,92.0,27.7,1918.2,6.1,70.8,Loamy Sand,Intermediate Zone,Irrigated,Maha,Red Onion,Matara
62.0,30.5,34.0,26.7,1719.4,6.7,87.6,Sandy Clay Loam,Low Country Wet Zone,Irrigated,Maha,Cowpea,Ratnapura
96.0,30.0,145.0,26.4,1878.8,5.89,69.2,Loam,Intermediate Zone,Irrigated,Maha,Brinjal (Eggplant),Monaragala
159.0,126.0,113.6,28.7,1432.4,5.93,76.8,Sandy Loam,Low Country Wet Zone,Supplemental,Year-round,Kiri Ala,Colombo
75.0,32.0,74.0,28.5,1011.1,6.53,66.8,Alluvial,Intermediate Zone,Rainfed,Yala,Brinjal (Eggplant),Matara
191.0,65.0,111.0,19.8,1692.2,5.6,77.9,Silt Loam,Up Country Intermediate Zone,Irrigated,Maha,Leeks,Matale
49.0,60.0,52.0,25.3,1280.0,6.5,71.7,Clay Loam,Low Country Wet Zone,Irrigated,Yala,Winged Bean (Dambala),Galle
65.0,31.0,58.0,30.7,1398.0,6.7,63.8,Well Drained Loam,Low Country Dry Zone,Irrigated,Maha,Cowpea,Monaragala
67.0,99.0,110.0,29.7,705.5,7.6,51.6,Red-Brown Earth,Intermediate Zone,Irrigated,Yala,Big Onion,Badulla
132.3,114.6,120.4,23.4,1403.0,6.02,63.5,Clay Loam,Mid Country Wet Zone,Irrigated,Maha,Kohlrabi (Nokol),Ratnapura
106.0,84.0,81.0,25.7,933.6,6.7,52.7,Alluvial,Dry Zone,Irrigated,Year-round,Carrot,Trincomalee
35.0,63.0,35.0,28.6,456.5,7.9,57.8,Reddish-Brown Earth,Dry Zone,Rainfed,Yala,Pigeon Pea,Kilinochchi
129.0,90.0,68.0,24.1,2753.2,6.9,86.6,Alluvial,Low Country Wet Zone,Rainfed,Year-round,Radish,Matara
185.0,116.0,115.8,28.8,1489.0,6.18,78.0,Loam,Intermediate Zone,Supplemental,Maha,Kiri Ala,Kurunegala
102.1,91.6,106.4,27.9,1903.1,6.6,72.9,Reddish-Brown Earth,Mid Country Wet Zone,Irrigated,Yala,Bitter Gourd,Ratnapura
128.0,93.0,77.0,27.5,885.2,6.1,79.7,Sandy Loam,Intermediate Zone,Rainfed,Yala,Sweet Corn,Kandy
136.3,50.3,105.6,26.0,1145.0,5.88,71.1,Alluvial Loam,Intermediate Zone,Irrigated,Maha,Capsicum,Matara
62.0,35.0,116.0,24.8,1827.0,5.9,93.0,Sandy Loam,Low Country Wet Zone,Supplemental,Maha,Innala,Ratnapura
133.6,82.8,97.9,26.6,623.1,6.25,64.0,Non-Calcic Brown Earth,Dry Zone,Irrigated,Maha,Tomato,Mullaitivu
73.0,53.0,105.0,30.7,566.7,6.1,58.5,Red-Brown Earth,Dry Zone,Irrigated,Yala,Pumpkin,Polonnaruwa
78.0,32.0,79.0,31.9,650.1,5.56,58.5,Sandy Loam,Dry Zone,Rainfed,Yala,Brinjal (Eggplant),Jaffna
39.0,49.0,65.0,20.6,397.8,6.5,50.9,Non-Calcic Brown Earth,Eastern Dry Zone,Rainfed,Yala,Pigeon Pea,Ampara
152.0,64.0,82.0,28.7,727.8,6.98,61.8,Deep Loam,Dry Zone,Irrigated,Yala,Maize,Kurunegala
42.0,38.0,83.0,21.3,617.5,7.6,68.1,Reddish-Brown Earth,Dry Zone,Supplemental,Maha,Pigeon Pea,Vavuniya
113.6,40.9,142.6,18.6,1939.6,7.3,76.1,Clay Loam,Up Country Wet Zone,Irrigated,Maha,Beetroot,Badulla
144.1,78.4,92.9,24.7,1743.7,6.4,73.2,Loam,Low Country Wet Zone,Supplemental,Yala,Tomato,Matara
76.0,31.0,92.0,26.9,1747.0,6.2,79.5,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Innala,Badulla
97.0,45.0,66.0,30.3,1244.8,5.81,71.5,Non-Calcic Brown Earth,Dry Zone,Rainfed,Maha,Brinjal (Eggplant),Polonnaruwa
104.0,47.0,63.0,31.5,752.2,6.1,71.4,Sandy Loam,Dry Zone,Rainfed,Yala,Pumpkin,Kurunegala
68.0,42.0,23.0,28.3,767.8,6.2,54.1,Reddish-Brown Earth,Intermediate Zone,Rainfed,Yala,Sunflower,Puttalam
141.0,62.0,89.0,33.0,962.6,7.0,62.3,Reddish-Brown Earth,Low Country Dry Zone,Irrigated,Maha,Luffa,Ampara
25.0,41.6,51.3,30.2,525.0,6.32,69.2,Reddish-Brown Earth,Dry Zone,Supplemental,Maha,Soybean,Anuradhapura
75.4,78.7,79.6,31.9,795.4,6.7,60.4,Reddish-Brown Earth,Dry Zone,Irrigated,Yala,Tibbatu (Turkey Berry),Kurunegala
130.0,79.0,75.0,29.8,500.0,7.3,59.8,Reddish-Brown Latosol,Intermediate Zone,Irrigated,Yala,Big Onion,Matara
194.9,150.0,123.6,23.4,1643.1,5.17,78.1,Well Drained Loam,Mid Country Wet Zone,Irrigated,Maha,Kohlrabi (Nokol),Kandy
131.0,45.0,174.0,23.9,1723.1,5.9,73.7,Sandy Loam,Mid Country Wet Zone,Rainfed,Year-round,Luffa,Kandy
127.4,51.1,82.6,32.3,914.5,5.61,68.8,Light Loam,Low Country Dry Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Hambantota
49.0,35.0,106.0,30.3,1336.0,5.2,68.0,Sandy Loam,Dry Zone,Rainfed,Maha,Cassava,Polonnaruwa
113.0,65.0,136.0,19.4,1739.3,5.8,82.4,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Maha,Potato,Badulla
91.0,102.0,111.0,25.9,167.0,6.4,81.0,Sandy Loam,Low Country Wet Zone,Irrigated,Year-round,Pathola (Snake Gourd),Colombo
115.0,62.0,124.0,16.9,1442.5,5.6,78.7,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Yala,Potato,Nuwara Eliya
75.0,48.0,169.0,27.5,1323.0,5.6,81.0,Red-Yellow Podzolic,Low Country Wet Zone,Supplemental,Maha,Cassava,Colombo
122.9,51.8,113.1,24.7,1348.6,6.95,79.4,Immature Brown Loam,Intermediate Zone,Supplemental,Maha,Cabbage,Kurunegala
145.1,113.8,138.6,22.8,1052.1,5.5,83.9,Organic-Rich Loam,Mid Country Intermediate Zone,Irrigated,Maha,Kohlrabi (Nokol),Kandy
160.0,110.0,108.7,32.2,1351.6,5.85,71.7,Reddish-Brown Earth,Dry Zone,Irrigated,Maha,Kiri Ala,Puttalam
